test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
Check calendar month object | Knows how many blanks to put before first day of the month,0.0,0.0,0,0,passed,951
Check calendar month object | Knows how to generate data structure for template,0.0,0.0,0,0,passed,951
Check calendar month object | Knows on which week day month starts,0.0,0.0,0,0,passed,951
Check calendar month object | Knows whether day is weekend,0.0,0.0,0,0,passed,951
Check calendar month object | Normalize provided date to be at the begining of the month,0.0,0.0,0,0,passed,951
Check calendar month object | Sanity checks pass,0.0,0.0,0,0,passed,951
"Check departments list page | Add new ""AAA"" department",2676.0449621945195,0.0,4,3,failed,951
"Check departments list page | Add new ""ZZZ"" department",2688.648636714791,0.0,4,3,failed,951
Check departments list page | Ensure department has a link to its Manager edit page,0.0,0.0,0,0,failed,951
Check departments list page | Ensure list of departments has links for editing each individual one,0.0,0.0,0,0,passed,951
Check departments list page | Ensure that departments respect alphabetical order,0.0,0.0,0,0,failed,951
Check departments list page | Ensure that newly added department AAA is on top of the list,0.0,0.0,0,0,failed,951
Check departments list page | Ensure that user is landed on department read only list page,0.0,0.0,0,0,passed,951
Check departments list page | Open page with department list and ensure it has read-only list,0.0,0.0,0,0,passed,951
Check departments list page | Register new account,2495.2942593076914,108.0,4,93,passed,951
"Check filtering on ""users"" page | ... and make sure only user from IT department is shown",0.0,0.0,0,0,failed,951
"Check filtering on ""users"" page | ... and make sure that both users are presenyed",0.0,0.0,0,0,failed,951
"Check filtering on ""users"" page | ... and submit the form",2676.0449621945195,0.0,4,2,failed,951
"Check filtering on ""users"" page | ... department and make sure that only one user from that department is shown",0.0,0.0,0,0,passed,951
"Check filtering on ""users"" page | Click on ""All"" filter",296.33933252270106,0.0,1,0,passed,951
"Check filtering on ""users"" page | Click on ""Sales""",0.0,0.0,0,0,failed,951
"Check filtering on ""users"" page | Click on IT department",322.88852565552713,0.0,1,0,passed,951
"Check filtering on ""users"" page | Create new department ""IT"": open page",0.0,0.0,0,0,passed,951
"Check filtering on ""users"" page | Create new non-admin user",1410.872523415701,452.0,3,82,failed,951
"Check filtering on ""users"" page | Make sure that both users are shown",0.0,0.0,0,0,failed,951
"Check filtering on ""users"" page | Open 'users' page",0.0,0.0,0,0,passed,951
"Check filtering on ""users"" page | Performing registration process",2495.2942593076914,108.0,4,93,passed,951
Check get_objects_for_bulk_create | Check case when start and finish dates are the same,0.0,0.0,0,0,passed,951
"Check get_objects_for_bulk_create | Start and end dates are the same, and half day",0.0,0.0,0,0,passed,951
Check get_objects_for_bulk_create | Three days in a row with first half day,0.0,0.0,0,0,passed,951
Check get_objects_for_bulk_create | Two days in a row,0.0,0.0,0,0,passed,951
Check that values for new columns are shown only for employess currently login user can supervise | ... and tick that box ON,806.9218883580436,282.0,2,0,failed,951
Check that values for new columns are shown only for employess currently login user can supervise | Add new department and make its approver to be user B,2485.521636046245,0.0,4,5,failed,951
Check that values for new columns are shown only for employess currently login user can supervise | And make sure it is part of the newly added department,0.0,0.0,0,0,failed,951
Check that values for new columns are shown only for employess currently login user can supervise | As user A ensure team view shows deducted values for all three users,0.0,0.0,0,0,failed,951
Check that values for new columns are shown only for employess currently login user can supervise | Create second user B,646.4093130517226,452.0,1,82,failed,951
Check that values for new columns are shown only for employess currently login user can supervise | Create second user C,0.0,0.0,0,79,failed,951
"Check that values for new columns are shown only for employess currently login user can supervise | Ensure company has ""Share absences between all employees"" flag OFF",0.0,0.0,0,0,passed,951
Check that values for new columns are shown only for employess currently login user can supervise | Login as user B,1518.063680283221,0.0,2,15,failed,951
Check that values for new columns are shown only for employess currently login user can supervise | Login as user B and ensure she sees deducted days only for user B (self) and user C but not for user A,0.0,0.0,0,0,failed,951
Check that values for new columns are shown only for employess currently login user can supervise | Login as user C,1518.063680283221,0.0,2,15,failed,951
Check that values for new columns are shown only for employess currently login user can supervise | Login as user C and ensure she sees only values for her account,0.0,0.0,0,0,failed,951
Check that values for new columns are shown only for employess currently login user can supervise | Logout from user A (admin),1043.7671912525857,0.0,2,0,passed,951
Check that values for new columns are shown only for employess currently login user can supervise | Logout from user B,0.0,0.0,0,0,failed,951
Check that values for new columns are shown only for employess currently login user can supervise | Obtain information about user A,0.0,0.0,0,0,passed,951
Check that values for new columns are shown only for employess currently login user can supervise | Obtain information about user B,0.0,0.0,0,0,failed,951
Check that values for new columns are shown only for employess currently login user can supervise | Obtain information about user C,0.0,0.0,0,0,failed,951
Check that values for new columns are shown only for employess currently login user can supervise | Open department management page,0.0,0.0,0,0,passed,951
Check that values for new columns are shown only for employess currently login user can supervise | Open page for editing company details,0.0,0.0,0,0,passed,951
Check that values for new columns are shown only for employess currently login user can supervise | Open user editing page for user B,0.0,0.0,0,0,passed,951
Check that values for new columns are shown only for employess currently login user can supervise | Register new company as admin user A,2495.2942593076914,108.0,4,93,passed,951
Check the client side logic to facilitate filling new absence form | Ensure by default FROM and TO fields are populated with current date,0.0,0.0,0,0,passed,951
Check the client side logic to facilitate filling new absence form | Open Book new leave pop up window,503.1073444107132,0.0,1,0,passed,951
Check the client side logic to facilitate filling new absence form | Open calendar page,0.0,0.0,0,0,passed,951
Check the client side logic to facilitate filling new absence form | Register new company,2495.2942593076914,108.0,4,93,passed,951
Check the client side logic to facilitate filling new absence form | Update FROM to be in future and make sure TO is automatically addusted to the same date,0.0,0.0,0,10,failed,951
Check the client side logic to facilitate filling new absence form | Update FROM to be in past and make sure TO is stays unchanged,0.0,0.0,0,10,failed,951
Check validation for leave request | No parameters provided,0.0,0.0,0,0,passed,951
Check validation for leave request | Reason is optional,0.0,0.0,0,0,passed,951
Check validation for leave request | Successfull scenario,0.0,0.0,0,0,passed,951
Check validation for leave request | User index is invalid,0.0,0.0,0,0,passed,951
Check validation for leave request | from_date has invalid value,0.0,0.0,0,0,passed,951
Check validation for leave request | from_date_part has invalid value,0.0,0.0,0,0,passed,951
Check validation for leave request | inter_year leave request,0.0,0.0,0,0,passed,951
Check validation for leave request | start dates is greater than end one,0.0,0.0,0,0,passed,951
Coloring of half days | Add absence: 2018-02-01 (afternoon) - 2018-02-02 (morning) Sick,2611.2995240972605,0.0,6,20,failed,951
Coloring of half days | Add absence: 2018-02-02 (afternoon) - 2018-02-02 (afternnon) : Holiday,0.0,0.0,0,0,failed,951
Coloring of half days | Add absence: 2018-02-08 (morning) - 2018-02-08 (morning) : Holiday (0.5 days),0.0,0.0,0,0,failed,951
Coloring of half days | Add absence: 2018-02-13 (afternoon) - 2018-02-14 (morning) : Sick,0.0,0.0,0,0,failed,951
Coloring of half days | Add absence: 2018-02-14 (afternoon) - 2018-02-15 (morning) : Holiday,0.0,0.0,0,0,failed,951
"Coloring of half days | Changes default color for Sick days to be ""color 3""",1124.2225011497053,781.0,3,0,passed,951
Coloring of half days | Ensure that all absences are approved,0.0,0.0,0,0,failed,951
Coloring of half days | Ensure user starts at the very beginning of current year,1090.8207918810494,630.0,1,10,failed,951
Coloring of half days | Go Calendar page,0.0,0.0,0,0,passed,951
Coloring of half days | Go to Team view page and ensure that all half a day cells have correct color classes,0.0,0.0,0,0,failed,951
Coloring of half days | Go to callendar page and ensure that all half days cells have correct color classes,0.0,0.0,0,0,failed,951
Coloring of half days | Go to report page and for 2018-02 ensure that report contains correct summaries,0.0,0.0,0,0,failed,951
Coloring of half days | Obtain information user,0.0,0.0,0,0,passed,951
Coloring of half days | On Team view page ensure that days deducted from allowance are stated correctly,0.0,0.0,0,0,failed,951
Coloring of half days | Open requests page,0.0,0.0,0,0,passed,951
Coloring of half days | Performing registration process,2495.2942593076914,108.0,4,93,passed,951
Cross linking on Teamview page | Create new company,2495.2942593076914,108.0,4,93,passed,951
Cross linking on Teamview page | Create new user B,646.4093130517226,452.0,1,82,failed,951
Cross linking on Teamview page | Login as user B,1518.063680283221,0.0,2,15,failed,951
Cross linking on Teamview page | Logout from A account,1043.7671912525857,0.0,2,0,passed,951
Cross linking on Teamview page | Make sure that both users are shown on Team view page,0.0,0.0,0,0,failed,951
